Warning: Neither event file or switching activity data present for power estimation. The command will propagate switching activity values for power calculation.  (PWR-246)
Information: Running switching activity propagation with 4 threads!
Information: Running averaged power analysis... (PWR-601)
Information: Running power calculation with 4 threads. (PWR-602)
SLACK_TSTART,#CELLS
-1.0,0
-0.96,0
-0.92,0
-0.88,0
-0.84,50
-0.8,29
-0.76,39
-0.72,13
-0.68,7
-0.64,14
-0.6,8
-0.56,10
-0.52,6
-0.48,1
-0.44,3
-0.4,15
-0.36,6
-0.32,7
-0.28,5
-0.24,3
-0.2,1
-0.16,2
-0.12,4
-0.08,4
-0.04,1
0.0,0
0.04,0
0.08,1
0.12,0
0.16,0
0.2,0
0.24,0
0.28,1
0.32,0
0.36,0
0.4,1
0.44,2
0.48,2
0.52,1
0.56,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
