Warning: Neither event file or switching activity data present for power estimation. The command will propagate switching activity values for power calculation.  (PWR-246)
Information: Running switching activity propagation with 4 threads!
Information: Running averaged power analysis... (PWR-601)
Information: Running power calculation with 4 threads. (PWR-602)
SLACK_TSTART,#CELLS
-1.0,0
-0.96,0
-0.92,0
-0.88,0
-0.84,0
-0.8,0
-0.76,0
-0.72,0
-0.68,0
-0.64,0
-0.6,0
-0.56,0
-0.52,0
-0.48,0
-0.44,0
-0.4,0
-0.36,0
-0.32,0
-0.28,0
-0.24,0
-0.2,0
-0.16,0
-0.12,0
-0.08,0
-0.04,0
0.0,0
0.04,16
0.08,84
0.12,34
0.16,21
0.2,16
0.24,7
0.28,16
0.32,18
0.36,5
0.4,6
0.44,4
0.48,1
0.52,1
0.56,0
0.6,1
0.64,0
0.68,5
0.72,1
0.76,1
0,0
0,0
0,0
0,0
0,0
